filename,Max_Metal_Charge
DB0-m3_o24_o28_f0_nbo,1.345327
DB1-Zn2O8-AZO_A-DPAC_A_No737_repeat,1.294312
DB0-m2_o9_o15_f0_nbo,0.954871
DB0-m29_o89_o111_f0_pts,1.452534
DB12-BUCVAY_freeONLY_repeat,1.058614
DB0-m3_o16_o29_f0_pcu,1.066752
DB0-m1_o37_fsh_repeat,1.396929
DB0-m3_o1_o24_f0_nbo,1.321874
DB1-Cu2N8-irmof16_B-irmof20_B_No609_repeat,0.787464
DB1-Zn2O8N2-irmof6_A-irmof7_A_No220_repeat,1.012469
DB0-m3_o11_o23_f0_pcu,1.071652
DB5-hypotheticalMOF_5014203_2_1_0_3_21_4_repeat,1.287375
DB0-m3_o1480_o6_f0_fsc,1.134088
DB0-m2_o20_o145_f0_fsc_repeat,1.078081
DB1-Zn2O8N2-AZO_A-irmof6_A_No152_repeat,0.853871
DB0-m3_o51_o14_f0_fsc,1.046821
DB0-m29_o86_o95_f0_pts,1.433872
DB5-hypotheticalMOF_5046770_3_1_1_19_25_0_repeat,1.05853
DB0-m3_o104_o13_f0_fsc,1.014183
DB0-m29_o82_o150_f0_pts,1.382965
DB0-m9_o6_o12_f0_sra_repeat,1.558485
DB0-m3_o16_o23_f0_pcu,1.051129
DB0-m2_o7_o25_f0_nbo,1.012875
DB0-m3_o1_o23_f0_nbo,1.33601
DB0-m9_o28_o29_f0_sra,1.496431
DB0-m3_o43_o21_f0_fsc,1.049355
DB0-m3_o160_o96_f0_fsc,1.065165
DB0-m3_o18_o24_f0_pcu,1.089511
DB2-ftw_sym_5_on_11_sym_12_mc_11_L_12_FGF_4___repeat,2.910277
DB0-m2_o9_o22_f0_nbo,0.967802
DB0-m29_o89_o92_f0_pts,1.4606
DB0-m29_o90_o78_f0_pts,1.443333
DB5-hypotheticalMOF_32008_1_1_2_11_26_1_repeat,0.882654
DB7-ddmof_3567_repeat,1.294354
DB7-ddmof_22067_repeat,1.389328
DB0-m2_o21_o22_f0_pcu,0.950557
DB1-Cu2O8-ADC_A-irmof6_A_No496_repeat,1.141511
DB0-m3_o83_o21_f0_fsc,1.036766
DB0-m2_o3_o15_f0_nbo,0.982214
DB0-m3_o17_o143_f0_fsc,1.058025
DB5-hypotheticalMOF_5078111_1_0_2_27_3_4_repeat,1.171088
DB0-m9_o6_o16_f0_sra,1.394262
DB0-m5_o16_o16_f0_bcu,1.192488
DB0-m29_o90_o1490_f0_pts,1.493429
DB0-m2_o22_o25_f0_pcu,0.897099
DB5-hypotheticalMOF_8341_0_0_0_0_21_14_repeat,1.298943
DB5-hypotheticalMOF_5023038_1_1_0_27_7_0_repeat,1.299212
DB0-m29_o85_o150_f0_pts,1.379738
DB1-Cu2O8N2-BDC_A-irmof6_A_No408_repeat,1.111655
DB0-m2_o24_o25_f0_pcu,0.934219
DB0-m3_o155_o44_f0_fsc,1.088311
DB15-cdl_N29_E30_opt_repeat,1.366759
DB6-cuf_6733_repeat,0.756057
DB0-m9_o6_o18_f0_sra,1.503326
DB6-cuf_10902_repeat,0.855027
DB13-nbo-Syn025767_repeat,1.054191
DB6-cuf_9476_repeat,0.827149
DB1-Cu2O8-ADC_A-DPAC_A_No1575_repeat,1.121606
DB0-m3_o160_o146_f0_fsc,1.034307
DB0-m3_o1_o14_f0_nbo,1.299207
DB0-m29_o99_o500_f0_pts,1.439423
DB0-m2_o2_o7_f0_nbo,0.951256
DB0-m29_o97_o510_f0_pts,1.495251
DB0-m3_o4_o15_f0_nbo,1.295764
DB0-m3_o146_o20_f0_fsc,1.044335
DB1-Cu2O8N2-BDC_A-irmof14_A_No251_repeat,0.917379
DB0-m2_o9_o24_f0_nbo,0.985158
DB0-m3_o13_o118_f0_fsc,1.050262
DB0-m3_o156_o510_f0_fsc,1.033484
DB0-m2_o1_o14_f0_nbo,0.970171
DB0-m29_o90_o115_f0_pts,1.374761
DB0-m3_o520_o18_f0_fsc,1.0403
DB0-m2_o21_o24_f0_pcu,1.024057
DB12-ja5b00365_si_002_clean_repeat,1.399553
DB1-Cu2N8-AZO_B-irmof20_B_No519_repeat,0.912168
DB0-m3_o11_o12_f0_pcu,1.097357
DB5-hypotheticalMOF_5045098_1_0_1_3_10_5_repeat,1.056468
DB0-m2_o23_o27_f0_nbo,1.038981
DB0-m3_o17_o25_f0_pcu,1.053911
DB0-m3_o24_o48_f0_fsc,1.016411
DB0-m3_o24_o28_f0_nbo,1.319159
DB5-hypotheticalMOF_5062292_3_1_2_18_11_2_repeat,0.975357
DB12-FEFDAX_freeONLY_repeat,1.032104
DB0-m2_o6_o14_f0_nbo,1.029395
DB0-m2_o25_o25_f0_nbo,1.053754
DB0-m2_o16_und_repeat,1.008364
DB5-hypotheticalMOF_5025964_2_0_0_27_3_4_repeat,1.351353
DB0-m3_o22_o22_f0_nbo,1.320904
DB0-m3_o1_o470_f0_fsc,1.122664
DB7-ddmof_4813_repeat,1.278761
DB0-m2_o19_o27_f0_nbo,1.079924
DB0-m3_o4_o22_f0_nbo,1.298562
DB5-hypotheticalMOF_5062963_1_1_2_18_14_0_repeat,1.105794
DB0-m3_o7_o20_f0_nbo,1.312498
DB5-hypotheticalMOF_5037304_1_1_1_18_11_8_repeat,1.007733
DB0-m2_o7_o14_f0_nbo,0.984193
DB0-m3_o7_o25_f0_nbo,1.431228
DB5-hypotheticalMOF_1000035_1_1_3_17_17_0_repeat,1.546974
DB0-m3_o96_o1_f0_fsc,1.039595
DB0-m29_o95_o151_f0_pts,1.496368
DB0-m3_o160_o109_f0_fsc,1.021655
DB7-ddmof_1458_repeat,1.179859
DB0-m9_o2_o2_f0_sra,1.480037
DB0-m2_o8_o12_f0_pcu,0.911321
DB0-m3_o13_o22_f0_pcu,1.128726
DB0-m3_o4_o22_f0_nbo,1.298386
DB7-ddmof_16607_repeat,1.2533
